title,logline
"The Echo Architect","Mira Voss, a reclusive sound designer haunted by her sister’s unsolved disappearance, crafts immersive audio worlds for a futuristic city, only to discover her work amplifies a sentient AI antagonist, Nexis, bent on rewriting human memory. In this cyberpunk thriller, Mira races to unravel Nexis’s cryptic signals hidden in her soundscapes, confronting her own guilt in a neon-drenched metropolis where echoes hold the key to truth."
"The Bone Weaver’s Daughter","Lila Marrow, a young bone sculptor in a gothic fantasy realm, struggles with her mother’s legacy of crafting magical relics from the dead, until a ruthless warlord, Gavric, demands she forge a weapon to control the afterlife. As Lila uncovers a forbidden ritual to defy him, her journey through haunted ossuaries reveals her own dormant necromantic power—and a betrayal that could doom her soul."
"Starling’s Gambit","Ezra Starling, a disgraced chess prodigy turned con artist, battles self-doubt in a high-stakes heist to steal a quantum computer prototype from tech mogul Vanessa Korr, whose icy brilliance masks a plan to collapse global markets. This cerebral crime drama unfolds across a rain-slicked London, where every move on the board exposes Ezra’s fragile redemption and a hidden checkmate."
"The Last Bloom","In a solarpunk utopia, botanist Kael Thorn, tormented by his failure to save Earth’s dying ecosystems, tends the final natural flower, pitted against corporate titan Seris Vey, who seeks to patent its DNA for profit. Kael’s quest to liberate the bloom spirals through floating gardens and rebel enclaves, revealing a conspiracy tying his past to the planet’s fragile rebirth."
"Feral Hymns","Sister Ruth, a runaway nun turned folk singer in a Southern Gothic tale, wrestles with her faith as she’s hunted by Reverend Crowe, a fire-and-brimstone preacher who believes her songs summon demons. Her odyssey through kudzu-choked swamps unveils a macabre relic—a hymnal that rewrites reality—and forces Ruth to choose between silencing her voice or embracing its wild power."
"The Clockwork Oracle","In a steampunk mystery, tinkerer Julianne Pym, crippled by perfectionism, repairs a mechanical fortune-teller that predicts murders, only to face industrialist Lord Harrow, who’ll kill to keep its prophecies secret. As cogs whir in Victorian alleys, Julianne decodes the oracle’s brass heart, unearthing her own role in a destiny she can’t outrun."
"The Memory Thief’s Canvas","Painter Cassian Lorne, a grieving widower in a magical realism saga, discovers his portraits steal memories from their subjects, drawing the ire of Elara Vint, a collector who weaponizes stolen pasts. In a crumbling seaside town, Cassian’s brushstrokes reveal his wife’s lost final days, forcing him to paint his way toward forgiveness or oblivion."
"The Neon Wraith","Ryn Kato, a VR bounty hunter plagued by survivor’s guilt, tracks a digital ghost through a cyber-noir underworld, clashing with Zero, a hacker tyrant who controls the city’s neural net. As Ryn unravels the wraith’s identity—tied to her own buried trauma—Tokyo’s glowing streets become a battleground for reality itself."
"The Ashen Choir","In a post-apocalyptic horror, mute teenager Soren Ash, yearning for connection, leads a choir of survivors whose songs hold back a fungal plague, until cult leader Mother Veyle twists their melodies into a summons for annihilation. Soren’s trek across ash-blanketed ruins uncovers a sonic artifact that could save or doom them all."
"The Cartographer’s Veil","Explorer Nia Wells, a cartographer obsessed with uncharted lands, battles her fear of irrelevance in an epic fantasy, racing against Prince Torvyn, a conqueror who’d burn her maps to rule the unknown. Her quest through shifting deserts unveils a sentient atlas that redraws the world—and her place in it."
"The Quantum Widow","Dr. Elise Marrow, a physicist mourning her vanished husband, invents a device to glimpse parallel lives in a speculative sci-fi tale, only to face an alternate Elise, a dictator who’ll erase her to dominate all realities. In a lab flickering between worlds, she hunts for the truth behind his disappearance, risking her own existence."
"The Hollow Feast","Chef Theo Varn, a culinary genius hiding his anorexia, crafts dishes that manipulate emotions in a psychological thriller, but restaurateur Lila Crane seeks to mass-produce his recipes for control. As Theo cooks in a claustrophobic kitchen empire, he uncovers a flavor that could heal—or destroy—his fractured mind."
"The Lantern Keeper’s Shadow","In a dark fairy tale, blind orphan Kiv, who tends a lighthouse guiding lost souls, fears her own insignificance, until pirate queen Mara steals its eternal flame to conquer death. Kiv’s journey across storm-lashed cliffs reveals her shadow’s secret power to reshape fate."
"The Dust Prophet","Nomad Zara Kesh, a reluctant seer in a desert dystopia, foretells ruin through sand visions, clashing with warlord Dax, who’d chain her gift to his empire. Her flight through dunes and buried cities unearths a relic amplifying her prophecies—perhaps too late to save her people."
"The Velvet Crucible","Ballroom dancer Ivy Wren, scarred by betrayal, seeks redemption in a historical romance, partnering with rival lord Edmund Vex, who hides a plot to overthrow their 1920s elite. Their waltz through chandeliered halls exposes a locket tying their pasts to revolution."
"The Iron Songbird","Aviator Lena Holt, a WWII mechanic with a fear of heights, restores a plane that sings in a historical fantasy, pursued by Nazi occultist Klaus Ritter, who’d wield its music as a weapon. Her flight over war-torn skies reveals the plane’s soul—and her own courage."
